estrategia,variable,n_estrategia,n_variable_valido,n_imputados_variable,media,mediana,desviacion_estandar,correlacion_con_RainTomorrow,desviacion_estandar_observada,razon_DE_vs_observado,encogimiento_varianza_porcentual
casos_completos,Humidity3pm,83683,83683,0,50.89290536907138,52.0,20.698360428940944,0.4540017181524474,20.784874914314152,0.9958376229960554,0.8307428625566216
casos_completos,Pressure9am,83683,83683,0,1017.6421961449757,1017.6,7.1149765003152625,-0.24879798604932946,7.121477780384764,0.9990870883445836,0.18249899031421712
casos_completos,Pressure3pm,83683,83683,0,1015.2399208919373,1015.2,7.038380092029905,-0.22924943656999763,7.057690838768577,0.9972638718272275,0.5464769948167136
casos_completos,Temp9am,83683,83683,0,17.198899418041897,16.8,6.448422095243187,-0.023895209306373993,6.491363366153102,0.993384861008734,1.3186517918658214
casos_completos,Temp3pm,83683,83683,0,21.983174599381,21.4,6.832504544516874,-0.1966615802738878,6.9357501328419,0.9851139982918155,2.9550410369513003
casos_completos,RainToday_bin,83683,83683,0,0.2214786754776956,0.0,0.41524442473790824,0.31587054522213726,0.4168162015184119,0.9962290890450566,0.7527602140456779
imputacion_simple,MinTemp,99535,99535,458,12.191144823428946,12.0,6.387381893043567,0.08295692646939588,6.402115138253,0.9976986909964487,0.45973219839727797
imputacion_simple,MaxTemp,99535,99535,224,23.22908323705229,22.6,7.107172345356513,-0.16012474885720818,7.115120300679408,0.9988829485676953,0.22328550607069175
imputacion_simple,Rainfall,99535,99535,999,2.3265524689807604,0.0,8.421849900982235,0.2378477180996647,8.461159624168191,0.995354097436754,0.9270220715864919
imputacion_simple,WindGustSpeed,99535,99535,6562,39.9322750791179,39.0,13.147750676983383,0.2271127820074556,13.601413039967483,0.966645938796872,6.559562900751404
imputacion_simple,Humidity9am,99535,99535,1259,68.86614758627618,70.0,18.932027408252633,0.25378686131602557,19.052472723528233,0.9936782318482545,1.2603571550926507
imputacion_simple,Humidity3pm,99535,99535,2555,51.504104083990555,52.0,20.51652857961925,0.44065641737747563,20.784874914314152,0.9870893456996417,2.5654623606253257
imputacion_simple,Pressure9am,99535,99535,9846,1017.6374531571811,1017.6,6.76008717340196,-0.2359592031411589,7.121477780384764,0.9492534249031556,9.891793530962921
imputacion_simple,Pressure3pm,99535,99535,9802,1015.2420846134526,1015.2,6.7011835056124225,-0.21582810206445746,7.057690838768577,0.9494866888759387,9.847502764740646
imputacion_simple,Temp9am,99535,99535,638,16.9942020394836,16.7,6.470568671035826,-0.025981660379528797,6.491363366153102,0.996796559683332,0.6396618603473514
imputacion_simple,Temp3pm,99535,99535,1931,21.67836138041895,21.1,6.868624201399512,-0.1923811764467349,6.9357501328419,0.9903217488870403,1.9262833681313984
imputacion_simple,RainToday_bin,99535,99535,999,0.2215903953383232,0.0,0.4153189436912033,0.30750855628129425,0.4168162015184119,0.9964078703712709,0.7171355862188644
imputacion_regresion,MinTemp,99535,99535,458,12.194210328920468,12.0,6.394198333108647,0.08295230681872322,6.402115138253,0.9987634078779605,0.24716550840027107
imputacion_regresion,MaxTemp,99535,99535,224,23.230490576733605,22.6,7.110373458482107,-0.1603687116814172,7.115120300679408,0.9993328514492091,0.13338520143929555
imputacion_regresion,Rainfall,99535,99535,999,2.3469678050812792,0.0,8.419822563191527,0.240010823807281,8.461159624168191,0.9951144922430502,0.9747147327856531
imputacion_regresion,WindGustSpeed,99535,99535,6562,39.96973719629985,39.0,13.22756922267113,0.23137494523004556,13.601413039967483,0.9725143397823579,5.421585891768455
imputacion_regresion,Humidity9am,99535,99535,1259,68.93186275474257,70.0,19.01076153735866,0.2565753997709364,19.052472723528233,0.9978107205938649,0.43737658679521285
imputacion_regresion,Humidity3pm,99535,99535,2555,51.5352057143102,52.0,20.65457250025253,0.4455704356270279,20.784874914314152,0.9937309021777233,1.249889405704807
imputacion_regresion,Pressure9am,99535,99535,9846,1017.6959623909312,1017.8,6.785249542201923,-0.2402465914559211,7.121477780384764,0.9527867321149354,9.21974431057424
imputacion_regresion,Pressure3pm,99535,99535,9802,1015.298981562253,1015.4,6.720178562486346,-0.21728416722136557,7.057690838768577,0.9521780871403089,9.33568903698222
imputacion_regresion,Temp9am,99535,99535,638,16.969992168998573,16.7,6.506141903922816,-0.02837450510408999,6.491363366153102,1.0022766462045203,-0.4558475526981187
imputacion_regresion,Temp3pm,99535,99535,1931,21.71693008546669,21.1,6.965160731472594,-0.1944101954245931,6.9357501328419,1.004240435146507,-0.8498851583245814
imputacion_regresion,RainToday_bin,99535,99535,999,0.22928618074044307,0.0,0.4203757884034715,0.3175789533043402,0.4168162015184119,1.0085399436780347,-1.7152817994093406
