Location,n,prevalencia,accuracy,recall,precision,F1,ROC_AUC
Watsonia,907,0.25468577728776187,0.7971334068357222,0.6320346320346321,0.5959183673469388,0.6134453781512605,0.8565280872973181
Albury,906,0.2141280353200883,0.8565121412803532,0.6185567010309279,0.6818181818181818,0.6486486486486487,0.8657549519286459
Tuggeranong,898,0.18374164810690424,0.8463251670378619,0.45454545454545453,0.6097560975609756,0.5208333333333334,0.8421348546860143
Bendigo,896,0.17075892857142858,0.8705357142857143,0.6339869281045751,0.6178343949044586,0.6258064516129033,0.8847104566366698
Nuriootpa,895,0.20670391061452514,0.8502793296089386,0.5945945945945946,0.650887573964497,0.6214689265536724,0.8634792539017893
Dartmoor,890,0.3112359550561798,0.7943820224719101,0.7725631768953068,0.6407185628742516,0.7004909983633388,0.8769265198673741
CoffsHarbour,888,0.2894144144144144,0.75,0.6926070038910506,0.5545171339563862,0.615916955017301,0.8149561871404171
WaggaWagga,886,0.15688487584650113,0.8690744920993227,0.5107913669064749,0.5966386554621849,0.5503875968992248,0.855874336675238
Portland,886,0.35891647855530473,0.7765237020316027,0.7767295597484277,0.660427807486631,0.7138728323699421,0.8554953937461245
Richmond,879,0.20705346985210465,0.8452787258248009,0.5604395604395604,0.6455696202531646,0.6,0.8553612814731896
NorfolkIsland,875,0.304,0.6902857142857143,0.793233082706767,0.49414519906323184,0.6089466089466089,0.7876896675185501
GoldCoast,874,0.2574370709382151,0.7276887871853547,0.7822222222222223,0.4821917808219178,0.5966101694915255,0.832165725047081
Wollongong,873,0.2313860252004582,0.6655211912943871,0.8217821782178217,0.3933649289099526,0.532051282051282,0.8064954036387245
Newcastle,871,0.2663605051664753,0.7703788748564868,0.5948275862068966,0.5655737704918032,0.5798319327731093,0.774519723706222
Penrith,866,0.2390300230946882,0.8418013856812933,0.5169082125603864,0.7430555555555556,0.6096866096866097,0.8558788385271199
MountGinini,864,0.2824074074074074,0.6967592592592593,0.819672131147541,0.4784688995215311,0.6042296072507553,0.8006808566895823
AliceSprings,863,0.08111239860950174,0.9385863267670915,0.4857142857142857,0.6666666666666666,0.5619834710743802,0.921311475409836
Witchcliffe,860,0.31511627906976747,0.8465116279069768,0.7232472324723247,0.7747035573122529,0.7480916030534351,0.9045414393023388
Moree,859,0.1408614668218859,0.8928987194412107,0.5289256198347108,0.6464646464646465,0.5818181818181818,0.8968845886805975
Albany,857,0.3045507584597433,0.7152858809801633,0.7279693486590039,0.5234159779614325,0.6089743589743589,0.7917598806860552
NorahHead,851,0.2773207990599295,0.6886016451233843,0.8432203389830508,0.46604215456674475,0.6003016591251885,0.815936337329475
BadgerysCreek,850,0.2188235294117647,0.84,0.5698924731182796,0.654320987654321,0.6091954022988506,0.8558103381267004
Walpole,820,0.33170731707317075,0.802439024390244,0.8051470588235294,0.6676829268292683,0.73,0.885593334048948
PearceRAAF,815,0.18650306748466258,0.8785276073619632,0.6052631578947368,0.7022900763358778,0.6501766784452296,0.8878800508057474
Melbourne,759,0.2516469038208169,0.8181818181818182,0.6282722513089005,0.6417112299465241,0.6349206349206349,0.8357975075584396
Williamtown,744,0.28091397849462363,0.782258064516129,0.5550239234449761,0.6270270270270271,0.5888324873096447,0.7914233331842775
Katherine,478,0.15690376569037656,0.8451882845188284,0.56,0.5060240963855421,0.5316455696202531,0.871232423490488
Nhil,473,0.15856236786469344,0.8414376321353065,0.6533333333333333,0.5,0.5664739884393064,0.8662311557788945
Uluru,456,0.10087719298245613,0.918859649122807,0.41304347826086957,0.6551724137931034,0.5066666666666667,0.9064687168610817
