estrategia,variable_1,variable_2,fuente_referencia,r_referencia,r_S1,r_train_estrategia,signo_preservado,magnitud_absoluta_referencia,magnitud_absoluta_estrategia,razon_magnitud_absoluta,categoria_magnitud_referencia,categoria_magnitud_estrategia,orden_magnitud_preservado,desviacion_absoluta
casos_completos,Temp9am,RainTomorrow_bin,Matriz de correlaciones de S1,-0.026,-0.026,-0.023895209306373993,True,0.026,0.023895209306373993,0.9190465117836152,muy_debil,muy_debil,True,0.002104790693626006
casos_completos,Temp9am,MinTemp,Matriz de correlaciones de S1,0.902,0.902,0.9029851465482344,True,0.902,0.9029851465482344,1.0010921802086856,muy_fuerte,muy_fuerte,True,0.0009851465482343391
casos_completos,Temp3pm,RainTomorrow_bin,Matriz de correlaciones de S1,-0.192,-0.192,-0.1966615802738878,True,0.192,0.1966615802738878,1.024279063926499,debil,debil,True,0.0046615802738878
casos_completos,Temp3pm,MaxTemp,Matriz de correlaciones de S1,0.985,0.985,0.9843685348897816,True,0.985,0.9843685348897816,0.9993589186698291,muy_fuerte,muy_fuerte,True,0.0006314651102183877
casos_completos,RainToday_bin,RainTomorrow_bin,Matriz de correlaciones de S1,0.313,0.313,0.31587054522213726,True,0.313,0.31587054522213726,1.0091710709972437,moderada,moderada,True,0.002870545222137255
imputacion_simple,MinTemp,RainTomorrow_bin,Matriz de correlaciones de S1,0.084,0.084,0.08295692646939588,True,0.084,0.08295692646939588,0.9875824579689986,muy_debil,muy_debil,True,0.0010430735306041217
imputacion_simple,MinTemp,Temp9am,Matriz de correlaciones de S1,0.902,0.902,0.8983906768624854,True,0.902,0.8983906768624854,0.9959985331069683,muy_fuerte,muy_fuerte,True,0.0036093231375146084
imputacion_simple,MaxTemp,RainTomorrow_bin,Matriz de correlaciones de S1,-0.159,-0.159,-0.16012474885720818,True,0.159,0.16012474885720818,1.0070738921836992,debil,debil,True,0.0011247488572081743
imputacion_simple,MaxTemp,Temp3pm,Matriz de correlaciones de S1,0.985,0.985,0.9688824638638522,True,0.985,0.9688824638638522,0.983637019151119,muy_fuerte,muy_fuerte,True,0.016117536136147748
imputacion_simple,Rainfall,RainTomorrow_bin,Matriz de correlaciones de S1,0.239,0.239,0.2378477180996647,True,0.239,0.2378477180996647,0.9951787368186809,debil,debil,True,0.0011522819003352835
imputacion_simple,Rainfall,Humidity3pm,Matriz de correlaciones de S1,0.256,0.256,0.2513918321393235,True,0.256,0.2513918321393235,0.9819993442942323,debil,debil,True,0.004608167860676526
imputacion_simple,WindGustSpeed,RainTomorrow_bin,Matriz de correlaciones de S1,0.234,0.234,0.2271127820074556,True,0.234,0.2271127820074556,0.9705674444763059,debil,debil,True,0.006887217992544409
imputacion_simple,WindGustSpeed,Pressure9am,Matriz de correlaciones de S1,-0.459,-0.459,-0.42640758642664933,True,0.459,0.42640758642664933,0.9289925630210225,moderada,moderada,True,0.03259241357335069
imputacion_simple,Humidity9am,RainTomorrow_bin,Matriz de correlaciones de S1,0.257,0.257,0.25378686131602557,True,0.257,0.25378686131602557,0.9874975148483485,debil,debil,True,0.003213138683974437
imputacion_simple,Humidity9am,Humidity3pm,Matriz de correlaciones de S1,0.667,0.667,0.6600655882205515,True,0.667,0.6600655882205515,0.989603580540557,fuerte,fuerte,True,0.006934411779448535
imputacion_simple,Humidity3pm,RainTomorrow_bin,Matriz de correlaciones de S1,0.446,0.446,0.44065641737747563,True,0.446,0.44065641737747563,0.9880188730436673,moderada,moderada,True,0.005343582622524379
imputacion_simple,Humidity3pm,Humidity9am,Matriz de correlaciones de S1,0.667,0.667,0.6600655882205516,True,0.667,0.6600655882205516,0.9896035805405571,fuerte,fuerte,True,0.006934411779448424
imputacion_simple,Pressure9am,RainTomorrow_bin,Matriz de correlaciones de S1,-0.246,-0.246,-0.2359592031411589,True,0.246,0.2359592031411589,0.959183752606337,debil,debil,True,0.0100407968588411
imputacion_simple,Pressure9am,Pressure3pm,Matriz de correlaciones de S1,0.961,0.961,0.9599901197773554,True,0.961,0.9599901197773554,0.9989491360846571,muy_fuerte,muy_fuerte,True,0.001009880222644588
imputacion_simple,Pressure3pm,RainTomorrow_bin,Matriz de correlaciones de S1,-0.226,-0.226,-0.21582810206445746,True,0.226,0.21582810206445746,0.9549916020551215,debil,debil,True,0.010171897935542545
imputacion_simple,Pressure3pm,Pressure9am,Matriz de correlaciones de S1,0.961,0.961,0.9599901197773549,True,0.961,0.9599901197773549,0.9989491360846565,muy_fuerte,muy_fuerte,True,0.001009880222645032
imputacion_simple,Temp9am,RainTomorrow_bin,Matriz de correlaciones de S1,-0.026,-0.026,-0.025981660379528797,True,0.026,0.025981660379528797,0.9992946299818769,muy_debil,muy_debil,True,1.8339620471201357e-05
imputacion_simple,Temp9am,MinTemp,Matriz de correlaciones de S1,0.902,0.902,0.8983906768624854,True,0.902,0.8983906768624854,0.9959985331069683,muy_fuerte,muy_fuerte,True,0.0036093231375146084
imputacion_simple,Temp3pm,RainTomorrow_bin,Matriz de correlaciones de S1,-0.192,-0.192,-0.1923811764467349,True,0.192,0.1923811764467349,1.0019852939934109,debil,debil,True,0.00038117644673488216
imputacion_simple,Temp3pm,MaxTemp,Matriz de correlaciones de S1,0.985,0.985,0.9688824638638518,True,0.985,0.9688824638638518,0.9836370191511186,muy_fuerte,muy_fuerte,True,0.01611753613614819
imputacion_simple,RainToday_bin,RainTomorrow_bin,Matriz de correlaciones de S1,0.313,0.313,0.30750855628129425,True,0.313,0.30750855628129425,0.9824554513779369,moderada,moderada,True,0.005491443718705746
imputacion_regresion,MinTemp,RainTomorrow_bin,Matriz de correlaciones de S1,0.084,0.084,0.08295230681872322,True,0.084,0.08295230681872322,0.9875274621276573,muy_debil,muy_debil,True,0.0010476931812767876
imputacion_regresion,MinTemp,Temp9am,Matriz de correlaciones de S1,0.902,0.902,0.9027026042819917,True,0.902,0.9027026042819917,1.000778940445667,muy_fuerte,muy_fuerte,True,0.0007026042819916478
imputacion_regresion,MaxTemp,RainTomorrow_bin,Matriz de correlaciones de S1,-0.159,-0.159,-0.1603687116814172,True,0.159,0.1603687116814172,1.0086082495686617,debil,debil,True,0.0013687116814171951
imputacion_regresion,MaxTemp,Temp3pm,Matriz de correlaciones de S1,0.985,0.985,0.9847242204207144,True,0.985,0.9847242204207144,0.9997200207316898,muy_fuerte,muy_fuerte,True,0.0002757795792855955
imputacion_regresion,Rainfall,RainTomorrow_bin,Matriz de correlaciones de S1,0.239,0.239,0.240010823807281,True,0.239,0.240010823807281,1.0042293883149833,debil,debil,True,0.0010108238072810138
imputacion_regresion,Rainfall,Humidity3pm,Matriz de correlaciones de S1,0.256,0.256,0.2593627571255411,True,0.256,0.2593627571255411,1.0131357700216448,debil,debil,True,0.0033627571255410715
imputacion_regresion,WindGustSpeed,RainTomorrow_bin,Matriz de correlaciones de S1,0.234,0.234,0.23137494523004556,True,0.234,0.23137494523004556,0.9887818172224169,debil,debil,True,0.002625054769954449
imputacion_regresion,WindGustSpeed,Pressure9am,Matriz de correlaciones de S1,-0.459,-0.459,-0.4570263672955513,True,0.459,0.4570263672955513,0.9957001466134014,moderada,moderada,True,0.0019736327044487245
imputacion_regresion,Humidity9am,RainTomorrow_bin,Matriz de correlaciones de S1,0.257,0.257,0.2565753997709364,True,0.257,0.2565753997709364,0.998347859030881,debil,debil,True,0.0004246002290635986
imputacion_regresion,Humidity9am,Humidity3pm,Matriz de correlaciones de S1,0.667,0.667,0.671940149325622,True,0.667,0.671940149325622,1.007406520728069,fuerte,fuerte,True,0.004940149325621923
imputacion_regresion,Humidity3pm,RainTomorrow_bin,Matriz de correlaciones de S1,0.446,0.446,0.4455704356270279,True,0.446,0.4455704356270279,0.999036851181677,moderada,moderada,True,0.00042956437297209105
imputacion_regresion,Humidity3pm,Humidity9am,Matriz de correlaciones de S1,0.667,0.667,0.6719401493256221,True,0.667,0.6719401493256221,1.007406520728069,fuerte,fuerte,True,0.004940149325622034
imputacion_regresion,Pressure9am,RainTomorrow_bin,Matriz de correlaciones de S1,-0.246,-0.246,-0.2402465914559211,True,0.246,0.2402465914559211,0.9766121603899232,debil,debil,True,0.0057534085440789084
imputacion_regresion,Pressure9am,Pressure3pm,Matriz de correlaciones de S1,0.961,0.961,0.961339695872287,True,0.961,0.961339695872287,1.0003534816569064,muy_fuerte,muy_fuerte,True,0.0003396958722869936
imputacion_regresion,Pressure3pm,RainTomorrow_bin,Matriz de correlaciones de S1,-0.226,-0.226,-0.21728416722136557,True,0.226,0.21728416722136557,0.9614343682361308,debil,debil,True,0.008715832778634441
imputacion_regresion,Pressure3pm,Pressure9am,Matriz de correlaciones de S1,0.961,0.961,0.9613396958722857,True,0.961,0.9613396958722857,1.000353481656905,muy_fuerte,muy_fuerte,True,0.00033969587228577236
imputacion_regresion,Temp9am,RainTomorrow_bin,Matriz de correlaciones de S1,-0.026,-0.026,-0.02837450510408999,True,0.026,0.02837450510408999,1.0913271193880767,muy_debil,muy_debil,True,0.0023745051040899925
imputacion_regresion,Temp9am,MinTemp,Matriz de correlaciones de S1,0.902,0.902,0.9027026042819916,True,0.902,0.9027026042819916,1.0007789404456668,muy_fuerte,muy_fuerte,True,0.0007026042819915368
imputacion_regresion,Temp3pm,RainTomorrow_bin,Matriz de correlaciones de S1,-0.192,-0.192,-0.1944101954245931,True,0.192,0.1944101954245931,1.0125531011697557,debil,debil,True,0.0024101954245930868
imputacion_regresion,Temp3pm,MaxTemp,Matriz de correlaciones de S1,0.985,0.985,0.9847242204207145,True,0.985,0.9847242204207145,0.9997200207316899,muy_fuerte,muy_fuerte,True,0.00027577957928548447
imputacion_regresion,RainToday_bin,RainTomorrow_bin,Matriz de correlaciones de S1,0.313,0.313,0.3175789533043402,True,0.313,0.3175789533043402,1.0146292437838345,moderada,moderada,True,0.004578953304340216
