configuracion,n,threshold,TN,FP,FN,TP,accuracy,balanced_accuracy,precision,recall,F1,ROC_AUC,PR_AUC,Brier,seleccionado
sin_ponderacion,99535,0.20499999999999996,60013,17208,5307,17007,0.773798161450746,0.7696631561048759,0.4970626918018413,0.7621672492605539,0.6017088574006262,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.20999999999999996,60509,16712,5432,16882,0.7775254935449841,0.7700737855764949,0.502530213728642,0.7565653849601147,0.6039207269084925,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.21499999999999997,60983,16238,5557,16757,0.7810317978600493,0.770341966750371,0.507864828004243,0.7509635206596755,0.6059411668986964,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.21999999999999997,61459,15762,5683,16631,0.7845481488923495,0.7706006903122948,0.5134133917821752,0.7453168414448328,0.6080026322042883,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.22499999999999998,61897,15324,5819,16495,0.7875822574973628,0.7703892922424633,0.5184009554040039,0.739222013085955,0.609424934882604,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.22999999999999998,62289,14932,5942,16372,0.7902848244336164,0.7701713446755198,0.5230002555583951,0.7337097786143228,0.6106904397776866,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.235,62658,14563,6066,16248,0.7927462701562265,0.7697820664310069,0.5273441303430593,0.7281527292282872,0.6116894117647059,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.24,63037,14184,6184,16130,0.7953684633545989,0.7695919821559513,0.5320973807481691,0.7228645693286726,0.6129816827544273,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.245,63396,13825,6293,16021,0.7978801426633847,0.769474066543218,0.536788849427059,0.7179797436586897,0.6143021472392638,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.24999999999999994,63765,13456,6402,15912,0.800492289144522,0.7694209001567314,0.5418142195587033,0.7130949179887066,0.6157656437444371,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.25499999999999995,64105,13116,6494,15820,0.8029838750188376,0.7695608877865592,0.5467238042576721,0.7089719458635834,0.6173658536585366,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.25999999999999995,64433,12788,6612,15702,0.8050936856382177,0.7690405824576452,0.5511407511407511,0.7036837859639689,0.6181403039130777,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.26499999999999996,64729,12492,6757,15557,0.8066107399407244,0.7677080782602941,0.5546365289315127,0.6971856233754593,0.6177948096817107,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.26999999999999996,65025,12196,6872,15442,0.8084291957602854,0.7670477977789958,0.5587234966350677,0.6920319082190552,0.6182735426008968,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.27499999999999997,65334,11887,6984,15330,0.8104083990556086,0.7665389136634235,0.5632509093581217,0.6870126378058617,0.6190062788960449,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.27999999999999997,65652,11569,7103,15211,0.8124076957854022,0.7659314516510609,0.567998506348021,0.6816796629918437,0.6196683912494398,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.285,65947,11274,7213,15101,0.8142663384739036,0.7653767335331467,0.5725497630331754,0.6767500224074572,0.6203043808663148,0.8533493454449823,0.680929669939794,0.1148455285354345,False
sin_ponderacion,99535,0.29,66210,11011,7302,15012,0.8160144672728186,0.7650853744924798,0.5768743035007493,0.6727614950255445,0.6211390860003724,0.8533493454449823,0.680929669939794,0.1148455285354345,False
