replica,const,Humidity3pm,Rainfall_log1p,Pressure3pm,MaxTemp,WindGustSpeed,Humidity9am,Season_Autumn,Season_Winter,Season_Spring,Humidity3pm_sq,Rainfall_log1p_sq,MaxTemp_sq,WindGustSpeed_sq
3634,-2.153356809400849,1.1131533901515442,0.4126889873840099,-0.5289832550318447,0.12259461923462839,0.5074670358295124,0.13938514222215723,0.4338997674831574,0.672809119189819,0.3862104457721848,0.24044810058839342,-0.06921909128545709,-0.10201425832464547,-0.03418796341813409
3635,-2.1204044043013637,1.123697582297081,0.43063932219301976,-0.5064363035459472,0.13542768584421072,0.5011913141347429,0.11888742457733072,0.47120316836597387,0.6641431793109044,0.3850069426831915,0.2311376376650807,-0.07604213971665652,-0.09015186950255127,-0.03576415405799719
3636,-2.1181077672540605,1.124025363328622,0.4062198768292396,-0.5085383700220367,0.12921402479101313,0.48871840656876875,0.12345623240349181,0.4219906138690855,0.670639552532888,0.3433591323007247,0.20987063172366044,-0.06327418635927311,-0.07709877037993147,-0.02563024873174132
3637,-2.09639018364748,1.1299568788086412,0.43122989787219795,-0.5102326184200039,0.13681900740441916,0.507995654779654,0.14147185711784102,0.3993527360792019,0.7083307313334488,0.35643810510155216,0.22049136870046934,-0.08090598940508512,-0.10657180744051077,-0.030164688381603348
3638,-2.1261123456814444,1.1343079462099128,0.4249247287805395,-0.5149774649096498,0.1344733541341159,0.49275661201861204,0.11407998654496145,0.44904337015354184,0.6848598611421002,0.3982842040700914,0.19601920559851796,-0.0747411454202431,-0.08040124244179224,-0.01929021327261282
3639,-2.1373708403864735,1.134917724889134,0.41578143235370224,-0.5319485445276049,0.08968509039964773,0.5131643072073633,0.1058991438137613,0.4973554598945621,0.7113391424390566,0.35912538372097635,0.20667321955993476,-0.07728720691832619,-0.08749402354835063,-0.028428530123321284
3640,-2.1450049241611095,1.1245262610307134,0.4312361732808392,-0.5156910249567841,0.13939587353860558,0.5006611533236536,0.1282548625963951,0.513147616479454,0.7333290217821321,0.4170739645183384,0.227862880664007,-0.08126934975458086,-0.09898122455337534,-0.02648154179247739
3641,-2.056313676225621,1.128929851782928,0.4206893906075058,-0.517243579715842,0.09067620805550186,0.5033285277331362,0.1306614102991296,0.3895900077281574,0.5523966988440316,0.2845941522004506,0.21606360160199817,-0.08118519200038128,-0.09581804411517249,-0.024907647111520034
3642,-2.1006177270692548,1.1340312720214256,0.3948999311737562,-0.5087279890899403,0.09886894673134358,0.5031358395623587,0.12720791832957656,0.40153684794261263,0.6276586281599988,0.3626016586822349,0.20356448453657922,-0.0657948703313694,-0.07740296336458934,-0.03385843403977964
3643,-2.141537334552396,1.1217738784366902,0.40238822303540467,-0.5003266967598705,0.11430475975111148,0.5192256073074522,0.11715277029842122,0.4715635621831193,0.6801037070441617,0.35686680079073985,0.22955759625059982,-0.07007440893523488,-0.0756882880203371,-0.03053382571941949
